taxlevel	rankID	taxon	daughterlevels	total	AB1382_L5	AB1383_L5	AB2284_L1	AB2285_L1	AB2286_L1	AB2287_L1	AB2288_L1	AB2289_L1	AB2290_L1	AB2291_L1	AB2292_L1	AB2293_L1	AB2294_L1	AB2295_L1	AB2296_L1	AB2297_L1	AB2298_L1	AB2299_L1	AB2300_L1	AB2301_L1	AB2302_L1	AB2303_L1
5	0.1.2.2.7.2	Cellulomonadaceae	1	6	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	2
6	0.1.2.2.7.2.1	Cellulomonas	2	6	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	2
7	0.1.2.2.7.2.1.1	Cellulomonas_species_m5_1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
7	0.1.2.2.7.2.1.2	Cellulomonas_xylanilytica	0	4	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2
5	0.1.2.2.7.3	Dermacoccaceae	1	112	0	0	4	14	0	17	3	0	2	5	12	15	2	1	0	1	17	7	1	3	1	7
6	0.1.2.2.7.3.1	Dermacoccus	1	112	0	0	4	14	0	17	3	0	2	5	12	15	2	1	0	1	17	7	1	3	1	7
7	0.1.2.2.7.3.1.1	Dermacoccus_barathri	0	112	0	0	4	14	0	17	3	0	2	5	12	15	2	1	0	1	17	7	1	3	1	7
5	0.1.2.2.7.4	Intraspeciesrangiaceae	1	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
6	0.1.2.2.7.4.1	Aquipuribacter	1	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
7	0.1.2.2.7.4.1.1	Aquipuribacter_hungaricus	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
5	0.1.2.2.7.5	Microbacteriaceae	6	70	0	7	0	7	0	1	10	0	2	4	2	4	8	2	0	0	4	7	0	12	0	0
6	0.1.2.2.7.5.1	Agrococcus	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0
7	0.1.2.2.7.5.1.1	Agrococcus_jenensis	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0
6	0.1.2.2.7.5.2	Agromyces	2	11	0	7	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
7	0.1.2.2.7.5.2.1	Agromyces_species_NW_2013_Rh16	0	4	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
7	0.1.2.2.7.5.2.2	Agromyces_species_enrichment_culture_clone_TMX_25	0	7	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	0.1.2.2.7.5.3	Herbiconiux	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0
7	0.1.2.2.7.5.3.1	Herbiconiux_species_I10A_01569	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0
6	0.1.2.2.7.5.4	Leifsonia	1	5	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	4	0	0
7	0.1.2.2.7.5.4.1	Leifsonia_species_L118	0	5	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	4	0	0
6	0.1.2.2.7.5.5	Leucobacter	1	6	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0
7	0.1.2.2.7.5.5.1	Leucobacter_tardus	0	6	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0
6	0.1.2.2.7.5.6	Microbacterium	7	40	0	0	0	7	0	1	8	0	2	3	2	4	0	2	0	0	4	7	0	0	0	0
7	0.1.2.2.7.5.6.1	Microbacterium_arabinogalactanolyticum	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	0.1.2.2.7.5.6.2	Microbacterium_panaciterrae	0	8	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
7	0.1.2.2.7.5.6.3	Microbacterium_species_6B	0	6	0	0	0	0	0	0	2	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0
7	0.1.2.2.7.5.6.4	Microbacterium_species_CNJ743_PL04	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
7	0.1.2.2.7.5.6.5	Microbacterium_species_DLB9	0	8	0	0	0	0	0	1	0	0	2	3	2	0	0	0	0	0	0	0	0	0	0	0
7	0.1.2.2.7.5.6.6	Microbacterium_species_NCCP_540	0	4	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	0.1.2.2.7.5.6.7	Microbacterium_species_Rs52	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	7	0	0	0	0
5	0.1.2.2.7.6	Micrococcaceae	6	413	54	1	40	85	0	0	7	1	33	25	7	18	0	5	28	35	2	5	5	8	40	14
6	0.1.2.2.7.6.1	Acaricomes	1	4	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0
7	0.1.2.2.7.6.1.1	Acaricomes_phytoseiuli	0	4	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0
6	0.1.2.2.7.6.2	Arthrobacter	8	385	51	1	40	83	0	0	3	1	33	20	7	12	0	4	28	34	2	5	5	4	40	12
7	0.1.2.2.7.6.2.1	Arthrobacter_agilis	0	52	51	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	0.1.2.2.7.6.2.2	Arthrobacter_citreus	0	10	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0
7	0.1.2.2.7.6.2.3	Arthrobacter_species_4_C7_37	0	4	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0
7	0.1.2.2.7.6.2.4	Arthrobacter_species_96	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0
7	0.1.2.2.7.6.2.5	Arthrobacter_species_BA_5_17	0	8	0	0	0	0	0	0	0	0	0	0	2	2	0	3	0	0	0	1	0	0	0	0
7	0.1.2.2.7.6.2.6	Arthrobacter_species_G20	0	279	0	0	40	83	0	0	0	0	31	20	0	0	0	0	26	30	0	0	0	0	37	12
7	0.1.2.2.7.6.2.7	Arthrobacter_species_M_08	0	25	0	0	0	0	0	0	3	1	0	0	5	0	0	1	0	4	2	0	5	1	3	0
7	0.1.2.2.7.6.2.8	Arthrobacter_tumbae	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0
6	0.1.2.2.7.6.3	Glutamicibacter	1	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	0.1.2.2.7.6.3.1	Glutamicibacter_nicotianae	0	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	0.1.2.2.7.6.4	Kocuria	2	6	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2
7	0.1.2.2.7.6.4.1	Kocuria_marina	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	0.1.2.2.7.6.4.2	Kocuria_species_NCCP_523	0	4	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2
6	0.1.2.2.7.6.5	Micrococcus	1	13	0	0	0	2	0	0	0	0	0	3	0	6	0	0	0	0	0	0	0	2	0	0
7	0.1.2.2.7.6.5.1	Micrococcus_luteus	0	13	0	0	0	2	0	0	0	0	0	3	0	6	0	0	0	0	0	0	0	2	0	0
6	0.1.2.2.7.6.6	Rothia	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
7	0.1.2.2.7.6.6.1	Rothia_mucilaginosa	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
5	0.1.2.2.7.7	Promicromonospeciesraceae	1	14	0	0	0	0	0	2	0	0	0	0	1	2	0	0	0	2	0	1	0	1	2	3
6	0.1.2.2.7.7.1	Cellulosimicrobium	2	14	0	0	0	0	0	2	0	0	0	0	1	2	0	0	0	2	0	1	0	1	2	3
7	0.1.2.2.7.7.1.1	Cellulosimicrobium_funkei	0	10	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	1	0	1	1	3
7	0.1.2.2.7.7.1.2	Cellulosimicrobium_species_NBGD17	0	4	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	1	0
4	0.1.2.2.8	Micromonospeciesrales	1	298	45	0	12	22	0	16	23	14	1	3	20	25	31	5	12	32	3	7	8	2	11	6
5	0.1.2.2.8.1	Micromonosporaceae	5	298	45	0	12	22	0	16	23	14	1	3	20	25	31	5	12	32	3	7	8	2	11	6
6	0.1.2.2.8.1.1	Actinoplanes	3	49	0	0	2	13	0	2	1	1	0	0	4	0	9	2	0	4	0	1	8	2	0	0
7	0.1.2.2.8.1.1.1	Actinoplanes_cyaneus	0	15	0	0	0	1	0	0	1	0	0	0	2	0	6	2	0	0	0	0	3	0	0	0
7	0.1.2.2.8.1.1.2	Actinoplanes_roseosporangius	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
7	0.1.2.2.8.1.1.3	Actinoplanes_species_HBUM_87072	0	32	0	0	2	12	0	2	0	1	0	0	2	0	3	0	0	4	0	1	5	0	0	0
6	0.1.2.2.8.1.2	Micromonospora	6	230	45	0	7	9	0	14	20	13	1	3	16	25	22	3	12	23	0	4	0	0	7	6
7	0.1.2.2.8.1.2.1	Micromonospora_species_HBUM_83983	0	149	0	0	7	9	0	11	12	13	0	0	12	22	16	0	12	23	0	0	0	0	6	6
7	0.1.2.2.8.1.2.2	Micromonospora_species_NEAU_GH9	0	13	0	0	0	0	0	3	0	0	0	0	0	0	4	1	0	0	0	4	0	0	1	0
7	0.1.2.2.8.1.2.3	Micromonospora_species_QAIII54	0	14	0	0	0	0	0	0	1	0	1	1	4	3	2	2	0	0	0	0	0	0	0	0
7	0.1.2.2.8.1.2.4	Micromonospora_species_SDT2S30	0	7	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	0.1.2.2.8.1.2.5	Micromonospora_species_TJ_36	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
7	0.1.2.2.8.1.2.6	Micromonospora_species_ZZY_2013	0	45	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	0.1.2.2.8.1.3	Salinispora	1	7	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	0	0	0	0
7	0.1.2.2.8.1.3.1	Salinispora_species_13_18_8	0	7	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	0	0	0	0
