taxlevel	rankID	taxon	daughterlevels	total	ADenoma12	Ademona1	Adenoma10	Adenoma11	Adenoma13	Adenoma14	Adenoma15	Adenoma16	Adenoma17	Adenoma18	Adenoma19	Adenoma2	Adenoma20	Adenoma21	Adenoma22	Adenoma23	Adenoma24	Adenoma25	Adenoma26	Adenoma27	Adenoma28	Adenoma29	Adenoma3	Adenoma30	Adenoma4	Adenoma5	Adenoma6	Adenoma7	Adenoma8	Adenoma9	Cancer1	Cancer10	Cancer11	Cancer12	Cancer13	Cancer14	Cancer15	Cancer16	Cancer17	Cancer18	Cancer19	Cancer2	Cancer20	Cancer21	Cancer22	Cancer23	Cancer24	Cancer25	Cancer26	Cancer27	Cancer28	Cancer29	Cancer3	Cancer30	Cancer4	Cancer5	Cancer6	Cancer7	Cancer8	Cancer9	Healthy1	Healthy10	Healthy11	Healthy12	Healthy13	Healthy14	Healthy15	Healthy16	Healthy17	Healthy18	Healthy19	Healthy2	Healthy20	Healthy21	Healthy22	Healthy23	Healthy24	Healthy25	Healthy26	Healthy27	Healthy28	Healthy29	Healthy3	Healthy30	Healthy4	Healthy5	Healthy6	Healthy7	Healthy8	Healthy9	mock1	mock2
4	0.1.1.1.5	Propionibacteriales	1	1304	0	8	0	0	13	6	0	0	0	25	0	0	0	2	1	0	1	1	0	0	0	0	0	26	0	0	12	0	2	0	17	0	4	0	45	0	0	1	0	9	0	14	0	0	0	5	0	125	6	2	0	0	2	6	0	0	0	1	0	0	0	0	0	20	0	0	0	0	4	0	144	1	0	0	0	0	54	219	0	0	0	0	2	1	0	0	0	83	0	0	307	135
5	0.1.1.1.5.1	Propionibacteriaceae	1	1304	0	8	0	0	13	6	0	0	0	25	0	0	0	2	1	0	1	1	0	0	0	0	0	26	0	0	12	0	2	0	17	0	4	0	45	0	0	1	0	9	0	14	0	0	0	5	0	125	6	2	0	0	2	6	0	0	0	1	0	0	0	0	0	20	0	0	0	0	4	0	144	1	0	0	0	0	54	219	0	0	0	0	2	1	0	0	0	83	0	0	307	135
6	0.1.1.1.5.1.1	Propionibacterium	1	1304	0	8	0	0	13	6	0	0	0	25	0	0	0	2	1	0	1	1	0	0	0	0	0	26	0	0	12	0	2	0	17	0	4	0	45	0	0	1	0	9	0	14	0	0	0	5	0	125	6	2	0	0	2	6	0	0	0	1	0	0	0	0	0	20	0	0	0	0	4	0	144	1	0	0	0	0	54	219	0	0	0	0	2	1	0	0	0	83	0	0	307	135
7	0.1.1.1.5.1.1.1	Propionibacterium_acnes	0	1304	0	8	0	0	13	6	0	0	0	25	0	0	0	2	1	0	1	1	0	0	0	0	0	26	0	0	12	0	2	0	17	0	4	0	45	0	0	1	0	9	0	14	0	0	0	5	0	125	6	2	0	0	2	6	0	0	0	1	0	0	0	0	0	20	0	0	0	0	4	0	144	1	0	0	0	0	54	219	0	0	0	0	2	1	0	0	0	83	0	0	307	135
4	0.1.1.1.6	Pseudonocardiales	1	51	0	6	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	0.1.1.1.6.1	Pseudonocardiaceae	1	51	0	6	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	0.1.1.1.6.1.1	Actinokineospeciesra	1	51	0	6	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	0.1.1.1.6.1.1.1	Actinokineospora_species_YU_873_1	0	51	0	6	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	0.1.1.2	Coriobacteriia	2	200619	12	80	3859	88	6	104	6	39	44	642	8240	4615	1163	160	5294	5064	779	2814	2683	4978	5612	11048	5852	17	2756	480	2	1901	16	11	483	3329	2694	6158	1970	866	512	4	1698	400	2159	1145	9	9	22	26	5358	2	4	15	1	4459	2373	1112	10218	5137	197	16838	6107	671	11	13475	6	6786	19	68	2310	11	4106	841	481	53	1226	716	109	1221	408	4251	37	207	2662	5144	3356	1243	61	3645	17	13	12	5773	5	5
4	0.1.1.2.1	Coriobacteriales	1	189526	12	7	3831	15	5	26	6	9	9	504	8112	4517	1081	160	5287	4915	755	2665	2268	4561	5471	11002	5813	17	2756	474	2	1877	15	8	470	3301	2667	6158	1960	608	13	4	1689	397	2159	1141	4	5	4	25	5329	2	4	7	1	4446	2368	1111	8739	4694	197	16838	6091	635	9	13473	6	6333	11	7	1345	11	4075	728	182	10	1217	329	98	1189	405	4233	3	3	2471	2275	3352	1108	58	3547	17	12	11	5751	5	5
5	0.1.1.2.1.1	Coriobacteriaceae	2	189526	12	7	3831	15	5	26	6	9	9	504	8112	4517	1081	160	5287	4915	755	2665	2268	4561	5471	11002	5813	17	2756	474	2	1877	15	8	470	3301	2667	6158	1960	608	13	4	1689	397	2159	1141	4	5	4	25	5329	2	4	7	1	4446	2368	1111	8739	4694	197	16838	6091	635	9	13473	6	6333	11	7	1345	11	4075	728	182	10	1217	329	98	1189	405	4233	3	3	2471	2275	3352	1108	58	3547	17	12	11	5751	5	5
6	0.1.1.2.1.1.1	Collinsella	1	188980	12	7	3831	15	5	26	6	9	9	504	8112	4517	1081	160	5287	4915	755	2620	2237	4561	5464	10908	5813	17	2756	474	2	1877	15	8	466	3159	2667	6158	1960	608	1	4	1689	397	2159	1141	4	5	4	25	5283	2	4	7	1	4446	2368	1111	8679	4694	197	16838	6091	635	9	13469	6	6333	11	7	1345	11	4075	716	182	10	1199	309	98	1161	401	4233	3	3	2471	2275	3352	1090	58	3546	17	12	11	5751	5	5
7	0.1.1.2.1.1.1.1	Collinsella_species_A_1	0	188980	12	7	3831	15	5	26	6	9	9	504	8112	4517	1081	160	5287	4915	755	2620	2237	4561	5464	10908	5813	17	2756	474	2	1877	15	8	466	3159	2667	6158	1960	608	1	4	1689	397	2159	1141	4	5	4	25	5283	2	4	7	1	4446	2368	1111	8679	4694	197	16838	6091	635	9	13469	6	6333	11	7	1345	11	4075	716	182	10	1199	309	98	1161	401	4233	3	3	2471	2275	3352	1090	58	3546	17	12	11	5751	5	5
6	0.1.1.2.1.1.2	Coriobacterium	1	546	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	31	0	7	94	0	0	0	0	0	0	0	0	4	142	0	0	0	0	12	0	0	0	0	0	0	0	0	0	46	0	0	0	0	0	0	0	60	0	0	0	0	0	0	4	0	0	0	0	0	0	0	12	0	0	18	20	0	28	4	0	0	0	0	0	0	18	0	1	0	0	0	0	0	0
